"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 15 10:46:46 GMT 2024","Sun Dec 15 10:46:48 GMT 2024","2054","Edit page tests","","","","","should correctly autocomplete users data",""
"passed","Sun Dec 15 10:47:01 GMT 2024","Sun Dec 15 10:47:03 GMT 2024","2170","Register page tests","","","","","should register successfully",""
"passed","Sun Dec 15 10:47:06 GMT 2024","Sun Dec 15 10:47:07 GMT 2024","598","Login page tests is isolation","","","","","should fail to login",""
"passed","Sun Dec 15 10:46:58 GMT 2024","Sun Dec 15 10:46:58 GMT 2024","887","Login page tests","","","","","should fail to login",""
"passed","Sun Dec 15 10:47:05 GMT 2024","Sun Dec 15 10:47:06 GMT 2024","1148","Login page tests is isolation","","","","","should login successfully",""
"passed","Sun Dec 15 10:46:54 GMT 2024","Sun Dec 15 10:46:54 GMT 2024","248","Home page tests","","","","","should open add more page",""
"passed","Sun Dec 15 10:46:52 GMT 2024","Sun Dec 15 10:46:53 GMT 2024","822","Home page tests","","","","","should display at least one user",""
"passed","Sun Dec 15 10:47:07 GMT 2024","Sun Dec 15 10:47:07 GMT 2024","150","Login page tests is isolation","","","","","should open register page",""
"passed","Sun Dec 15 10:46:48 GMT 2024","Sun Dec 15 10:46:51 GMT 2024","2209","Edit page tests","","","","","should successfully edit",""
"passed","Sun Dec 15 10:46:53 GMT 2024","Sun Dec 15 10:46:54 GMT 2024","325","Home page tests","","","","","should logout",""
"passed","Sun Dec 15 10:46:56 GMT 2024","Sun Dec 15 10:46:58 GMT 2024","1588","Login page tests","","","","","should login successfully",""
